timestamp;buyer;seller;symbol;currency;price;quantity
0;;SUBMISSION;KELP;SEASHELLS;2028.0;1
0;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10002.0;1
0;;;KELP;SEASHELLS;2029.0;13
0;;;KELP;SEASHELLS;2029.0;1
0;;;RAINFOREST_RESIN;SEASHELLS;10004.0;1
100;;SUBMISSION;KELP;SEASHELLS;2025.0;22
100;;SUBMISSION;KELP;SEASHELLS;2025.0;2
100;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;9996.0;2
200;;SUBMISSION;KELP;SEASHELLS;2025.0;2
200;;SUBMISSION;KELP;SEASHELLS;2025.0;20
200;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;9995.0;20
300;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;9996.0;2
400;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;9996.0;2
600;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10000.0;5
700;;SUBMISSION;KELP;SEASHELLS;2025.0;2
800;;SUBMISSION;KELP;SEASHELLS;2024.0;1
800;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;9996.0;1
900;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;9996.0;1
1100;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;9996.0;2
1100;;;RAINFOREST_RESIN;SEASHELLS;9995.0;10
1300;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10002.0;1
1400;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;9996.0;1
1700;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;9996.0;2
1700;;;KELP;SEASHELLS;2026.0;8
1700;;;RAINFOREST_RESIN;SEASHELLS;10002.0;1
1800;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;10002.0;1
1900;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;9996.0;1
1900;;;KELP;SEASHELLS;2026.0;1
2000;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;9996.0;2
2000;;;RAINFOREST_RESIN;SEASHELLS;9998.0;1
2100;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;9996.0;2
2400;;;KELP;SEASHELLS;2025.0;1
2500;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;9996.0;1
2900;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;9996.0;1
2900;;;RAINFOREST_RESIN;SEASHELLS;9995.0;12
3000;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;9998.0;1
3000;;;KELP;SEASHELLS;2027.0;1
3000;;;RAINFOREST_RESIN;SEASHELLS;10005.0;1
3100;;;KELP;SEASHELLS;2023.0;2
3100;;;RAINFOREST_RESIN;SEASHELLS;9996.0;2
3200;;SUBMISSION;RAINFOREST_RESIN;SEASHELLS;9996.0;1
3200;;;KELP;SEASHELLS;2023.0;2
3200;;;RAINFOREST_RESIN;SEASHELLS;9995.0;2
3700;;;RAINFOREST_RESIN;SEASHELLS;10002.0;1
3800;;;KELP;SEASHELLS;2023.0;14
3800;;;KELP;SEASHELLS;2023.0;1
3800;;;RAINFOREST_RESIN;SEASHELLS;9996.0;1
4200;;;RAINFOREST_RESIN;SEASHELLS;9996.0;2
4300;;;KELP;SEASHELLS;2025.0;1
4300;;;KELP;SEASHELLS;2023.0;2
4300;;;RAINFOREST_RESIN;SEASHELLS;9995.0;2
4500;;;KELP;SEASHELLS;2023.0;1
4700;;;KELP;SEASHELLS;2023.0;7
4800;;;KELP;SEASHELLS;2027.0;2
4800;;;RAINFOREST_RESIN;SEASHELLS;10004.0;2
5300;;;KELP;SEASHELLS;2025.0;1
5700;;;KELP;SEASHELLS;2024.0;1
6100;;;KELP;SEASHELLS;2024.0;1
6500;;;RAINFOREST_RESIN;SEASHELLS;9998.0;1
6600;;;RAINFOREST_RESIN;SEASHELLS;10004.0;2
6700;;;RAINFOREST_RESIN;SEASHELLS;10002.0;3
6900;;;KELP;SEASHELLS;2026.0;1
6900;;;RAINFOREST_RESIN;SEASHELLS;10002.0;1
7000;;;KELP;SEASHELLS;2027.0;2
7000;;;RAINFOREST_RESIN;SEASHELLS;10005.0;2
7300;;;KELP;SEASHELLS;2027.0;2
7300;;;RAINFOREST_RESIN;SEASHELLS;10004.0;2
7400;;;KELP;SEASHELLS;2024.0;1
7700;;;KELP;SEASHELLS;2024.0;1
8100;;;KELP;SEASHELLS;2027.0;1
8100;;;RAINFOREST_RESIN;SEASHELLS;9996.0;1
8100;;;RAINFOREST_RESIN;SEASHELLS;9996.0;1
8600;;;KELP;SEASHELLS;2023.0;1
8800;;;RAINFOREST_RESIN;SEASHELLS;9998.0;1
9200;;;KELP;SEASHELLS;2025.0;1
10300;;;KELP;SEASHELLS;2024.0;1
10300;;;RAINFOREST_RESIN;SEASHELLS;9998.0;1
10400;;;RAINFOREST_RESIN;SEASHELLS;10002.0;1
10800;;;RAINFOREST_RESIN;SEASHELLS;10004.0;2
10800;;;RAINFOREST_RESIN;SEASHELLS;10004.0;10
11100;;;RAINFOREST_RESIN;SEASHELLS;9998.0;3
11100;;;RAINFOREST_RESIN;SEASHELLS;9998.0;4
11300;;;KELP;SEASHELLS;2022.0;3
11400;;;KELP;SEASHELLS;2022.0;2
11400;;;RAINFOREST_RESIN;SEASHELLS;9996.0;1
11500;;;RAINFOREST_RESIN;SEASHELLS;10002.0;2
11700;;;KELP;SEASHELLS;2023.0;2
11800;;;KELP;SEASHELLS;2025.0;1
12000;;;RAINFOREST_RESIN;SEASHELLS;10002.0;1
12400;;;KELP;SEASHELLS;2026.0;15
12500;;;KELP;SEASHELLS;2023.0;1
13000;;;KELP;SEASHELLS;2025.0;1
13000;;;RAINFOREST_RESIN;SEASHELLS;10002.0;1
13200;;;RAINFOREST_RESIN;SEASHELLS;9998.0;2
13300;;;KELP;SEASHELLS;2026.0;2
13300;;;RAINFOREST_RESIN;SEASHELLS;10005.0;2
13600;;;KELP;SEASHELLS;2023.0;1
14200;;;KELP;SEASHELLS;2023.0;1
15000;;;KELP;SEASHELLS;2024.0;2
15200;;;KELP;SEASHELLS;2022.0;1
